is_intention,is_memory,id,title,url,tags,categoryId,category,time,description
not_intention,not_memory,j-2hij11nL8,How Long do Background Checks Take? (ASL included),https://www.youtube.com/watch?v=j-2hij11nL8,"['hireright', 'background checks', 'background check', 'hireright inc', 'asl', 'american sign language']",26,How-to & Style,2019-12-05 21:16:07
not_intention,People & Blogs,Xg1xPJsf2uk,【美国生活#04】在美国开车不可不知的交通标志，你认识几个？,https://www.youtube.com/watch?v=Xg1xPJsf2uk,"['自驾', '美国', '交通标志']",22,People & Blogs,2019-11-21 11:19:01
not_intention,not_memory,LyQZRAAcD_M,中美分梯撤關稅棉裡針 川普冷待北京一廂情願?｜寰宇全視界20191109-1,https://www.youtube.com/watch?v=LyQZRAAcD_M,"['寰宇新聞台', '寰宇全視界', '中國', '大陸', '台灣', '美國', '川普', 'RCEP', '中美貿易', '印度', '白宮', '亞洲經濟', '共和黨', '波頓']",25,News & Politics,2019-11-21 01:40:27
not_intention,not_memory,i0EHZ0Ws0-0,中國房企崩塌煙塵飛揚 金融海嘯過後最大泡沫?｜寰宇全視界20191109-2,https://www.youtube.com/watch?v=i0EHZ0Ws0-0,"['寰宇新聞台', '寰宇全視界', '中國', '大陸', '台灣', '美國', '川普', 'RCEP', '中美貿易', '印度', '白宮', '亞洲經濟', '共和黨', '波頓']",25,News & Politics,2019-11-21 01:40:22
not_intention,not_memory,XvisprAJOzY,習大揮軍搶攻區塊鏈 美國金融霸權倒計時？｜寰宇全視界20191102-2,https://www.youtube.com/watch?v=XvisprAJOzY,"['寰宇新聞台', '中國', '習近平', '美國', '區塊鏈', '特朗普', '川普']",25,News & Politics,2019-11-21 01:39:32
not_intention,not_memory,WLxYlkbjuAE,"""中華民國""成熱搜字眼 英韓對決中美壓寶誰? ｜寰宇全視界20191012-4",https://www.youtube.com/watch?v=WLxYlkbjuAE,"['寰宇新聞台', '中華民國', '台灣', '蔡英文', '韓國瑜', '小英', '民進黨', '國民黨', '亡國感', '芒果乾', '總統選舉', '2020']",25,News & Politics,2019-11-21 01:39:05
not_intention,not_memory,ie4ka0AlUhw,中美貿易過招威震全球 美歐關稅戰硬仗也開打｜寰宇全視界20191005-4,https://www.youtube.com/watch?v=ie4ka0AlUhw,"['寰宇新聞台', '中美貿易戰', '川普', '美國', '中國', '關稅', '歐盟']",25,News & Politics,2019-11-21 01:38:56
not_intention,not_memory,fwRVLxCEKp8,兩岸愛電影喜好各異 你愛黨國VS.我追228｜寰宇全視界20191005-6,https://www.youtube.com/watch?v=fwRVLxCEKp8,"['寰宇新聞台', '返校', '我和我的祖國', '影劇', '金馬獎', '解嚴', '戒嚴', '台灣', '票房']",25,News & Politics,2019-11-21 01:29:03
not_intention,not_memory,4dnQdSUzD4k,東協力拚RCEP達成協議 中國稱霸主台灣沒份兒？｜寰宇全視界20191005-5,https://www.youtube.com/watch?v=4dnQdSUzD4k,"['寰宇新聞台', '東協', '中國', '貿易']",25,News & Politics,2019-11-21 01:28:52
not_intention,not_memory,IMC_vihw_CY,解放軍「自發性」清除路障 難道暗示終將暴力清場？｜寰宇全視界60分鐘20191120-2,https://www.youtube.com/watch?v=IMC_vihw_CY,"['寰宇新聞台', '香港', '反送中', '反修例', '解放軍', '六四', '屠城', '習近平', '北京', '蔡英文', '港獨', '理大']",25,News & Politics,2019-11-21 01:07:43
not_intention,not_memory,FLd_5jdUuVc,《寰宇全視界》周六晚間九點  周三九點火熱加播!,https://www.youtube.com/watch?v=FLd_5jdUuVc,['寰宇新聞台'],25,News & Politics,2019-11-21 01:07:26
not_intention,not_memory,GS9n-0UsDKA,東風登場驚動美國射彈 俄助中國部署携手抗美？｜寰宇全視界20191005-3,https://www.youtube.com/watch?v=GS9n-0UsDKA,"['寰宇新聞台', '東風17', '東風41', '普丁', '解放軍', '中國', '習近平', '俄羅斯']",25,News & Politics,2019-11-21 00:46:37
not_intention,not_memory,xV-M4Iu6cOo,"習大十一談話藏暗語？ ""完全統一""欲說還休？｜寰宇全視界20191005-2",https://www.youtube.com/watch?v=xV-M4Iu6cOo,"['寰宇新聞台', '習近平', '中國', '大陸', '台灣', '十一國慶', '談話', '解放軍']",25,News & Politics,2019-11-21 00:22:34
not_intention,not_memory,tEn9WjYm75I,"寰宇全視界【完整版】20191116｜習近平訪希臘參加巴西金磚峰會大斬獲 香港動亂習近平下達""止暴制亂"" 川普彈劾案挫民調 彭博希拉蕊挑戰大位",https://www.youtube.com/watch?v=tEn9WjYm75I,"['習近平', '中國', '美國', '川普', '特朗普', '中美貿易戰', '農產品', '一帶一路', '談判', '協議', '希臘', '歐洲', '歐盟', '巴西', '波索納洛', '通烏門', '通俄門']",25,News & Politics,2019-11-20 21:11:36
not_intention,not_memory,9w7DQwOfn18,寰宇全視界【周三完整版】20191120｜北京痛批港高院裁定一國兩制名存實亡? 解放軍航母過台海台美日跟監另類軍演? 美日韓軍事同盟恐瓦解中國得利?,https://www.youtube.com/watch?v=9w7DQwOfn18,"['北京', '川普', '特朗普', '中國', '香港', '反送中', '林鄭', '一國兩制', '緊急法', '禁蒙面法', '台灣', '蔡英文', '台獨', '武統', '日本', '安倍', '韓國', '文在寅', '北韓', '金正恩']",25,News & Politics,2019-11-20 20:20:45
not_intention,not_memory,W6Xftpa_qeM,反送中首見駐港解放軍上街清路障 中共止暴制亂升級中？ 週末戰情室 20191117,https://www.youtube.com/watch?v=W6Xftpa_qeM,"['少康戰情室', '少康', '少康战情室', '唐湘龍', '蘭萱', '台湾', '國民黨', '民進黨', '政論', '時事', '評論', '議題', '政治', 'TVBS', '2020', '總統大選', '韓國瑜', '蔡英文', '郭台銘', '反送中', '解放軍', '香港', '中共', '理大', '科大', '中大']",25,News & Politics,2019-11-20 20:13:22
not_intention,Science & Technology,pWbMrx5rVBE,MongoDB In 30 Minutes,https://www.youtube.com/watch?v=pWbMrx5rVBE,"['mongodb', 'nosql', 'document database', 'mongo']",28,Science & Technology,2019-11-18 14:53:16
Education,not_memory,9OPP_1eAENg,MongoDB Tutorial #1 - Introduction to MongoDB,https://www.youtube.com/watch?v=9OPP_1eAENg,"['mongodb', 'mongo db', 'mongodb tutorial', 'mongo db tutorial', 'mongodb for beginners', 'mongodb tutorial for beginners', 'mongo db tutorial for beginners', 'mongo db for beginners', 'mongodb and mongoose', 'what is mongodb', 'mongo tutorial', 'mongodb introduction', 'introduction to mongodb', 'intro to mongodb', 'mongo db lessons', 'tutorial', 'mocha']",27,Education,2019-11-18 14:44:13
not_intention,Science & Technology,taZJblMAuko,The People's Republic of The Future,https://www.youtube.com/watch?v=taZJblMAuko,"['News', 'bloomberg', 'hello world', 'ashlee vance', 'china', 'huawei', 'DJI', 'Shenzhen', 'Asia', 'business', 'technology', 'surveillance', 'economics']",28,Science & Technology,2019-11-15 17:01:50
not_intention,Film & Animation,wkOVTK3WyEU,NEW UPCOMING MOVIE TRAILERS 2020 (Weekly #44),https://www.youtube.com/watch?v=wkOVTK3WyEU,"['movie', 'trailer', 'new', '2020', 'FilmSpot', 'movie trailers', 'movie trailers 2020', 'new trailers', 'new trailers 2020', 'new upcoming', 'new movie trailers', 'new movie trailers 2020', 'official', 'upcoming', 'upcoming movies', 'upcoming movies 2020', 'Trailer Compilation', 'Compilation', 'movie trailer', 'trailers 2020', 'Jumanji 3', 'Knives Out', 'Code 8', 'The Grudge', 'Little Joe', 'SparkShorts', 'movies 2020', 'movie 2020', 'film', 'movies', 'trailer 2020', 'HD', 'trailers', 'Trailer Weekly']",1,Film & Animation,2019-11-15 16:48:38
not_intention,not_memory,M0P46p31WcY,How to fill out a USPS Money Order,https://www.youtube.com/watch?v=M0P46p31WcY,"['money order', 'money', 'order', 'how to', 'how', 'style', 'vlog', 'blog', 'bills', 'payment', 'USPS']",26,How-to & Style,2019-11-15 11:21:37
Gaming,not_memory,uIHPPtPBgHk,HoloLens 2 AR Headset: On Stage Live Demonstration,https://www.youtube.com/watch?v=uIHPPtPBgHk,"['ar', 'augmented reality', 'hololens 2', 'mixed reality', 'microsoft hololens', 'magic leap', 'mr', 'technology', 'gadgets']",20,Gaming,2019-11-14 16:27:23
not_intention,not_memory,B1rdyE9OGow,美国亚马逊上最火的中国产品竟然是这些？！评论笑岔气了！,https://www.youtube.com/watch?v=B1rdyE9OGow,"['中国', '美国', '亚马逊', '阿里巴巴', '淘宝', '天猫', '京东', '网购', '网上购物', '电商', '差评', '好评', '评论', '商户', '卖家', '买家', '快递', '折扇', '孙子兵法', '钱币', '古钱币', '佛教', '开光', '老干妈', '马应龙', '中国跳棋', '水彩画', '油画', '中国文化', '文化输出', '产品', '商品', '卫龙', '辣条', '北京', '北京烤鸭', '感受', '搞笑', '自制', '星悦', '小贝']",23,Comedy,2019-11-12 13:54:08
not_intention,not_memory,ngpBIX_s29Q,英貨櫃案死者多越籍持陸假護照 美媒刻板印象誤會大陸？ 週末戰情室 20191027,https://www.youtube.com/watch?v=ngpBIX_s29Q,"['少康戰情室', '少康', '少康战情室', '唐湘龍', '蘭萱', '台湾', '國民黨', '民進黨', '政論', '時事', '評論', '議題', '政治', 'TVBS', '2020', '總統大選', '韓國瑜', '蔡英文', '郭台銘', '英國', '貨櫃案', '假護照', '中國籍', '越南籍']",25,News & Politics,2019-11-12 00:09:26
not_intention,Science & Technology,9Cor70qmThU,Amazing Laptops Coming Soon!,https://www.youtube.com/watch?v=9Cor70qmThU,"['Dave2D', 'Review', 'asus zenbook pro duo', 'dual screen', 'two screen', 'double screen', 'best laptop', 'best gaming laptop', 'best laptop for creators', 'best laptop for creatives', 'adobe', 'premiere', 'xps 15', 'razer studio', 'razer blade 15', 'razer blade', 'alienware']",28,Science & Technology,2019-11-06 10:45:02
not_intention,Science & Technology,kU78s9ExFFA,Introducing Surface Duo,https://www.youtube.com/watch?v=kU78s9ExFFA,"['Microsoft', 'Surface', 'dual-screen', 'dual screen', 'dualscreen', 'Windows', 'Windows 10X', 'Android', 'phone', 'Windows phone', 'Surface phone']",28,Science & Technology,2019-11-06 10:44:47
not_intention,Science & Technology,WrR5KApQnsg,Surface Neo first look: Microsoft's dual-screen prototype,https://www.youtube.com/watch?v=WrR5KApQnsg,"['surface neo', 'microsoft surface neo', 'new surface neo', 'surface', 'neo', 'microsoft', 'dual screen', 'dual screen laptop', 'hardware', 'dual screen setup', 'windows 10x', 'windows', 'microsoft surface', 'surface pro', 'microsoft surface pro', 'operating system', 'hinge', 'laptop hinge', 'software', 'microsoft event', 'event', 'keynote', 'microsoft keynote', 'hands on', 'first look', 'review', 'best laptop', 'new laptop', 'surface pen', 'technology', 'gadgets', 'tech', 'latest updates', 'tech news', 'google', 'verge', 'the verge']",28,Science & Technology,2019-11-06 10:43:28
not_intention,People & Blogs,iXB-1iaAzNs,=03_05-Using debugfs to Look Inside Your File System.mp4,https://www.youtube.com/watch?v=iXB-1iaAzNs,[],22,People & Blogs,2019-11-02 21:13:24
not_intention,Film & Animation,vm0hpDZuE2w,氰化欢乐S04E04,https://www.youtube.com/watch?v=vm0hpDZuE2w,[],1,Film & Animation,2019-10-29 12:58:26
not_intention,People & Blogs,lLo5hxJk5xI,Your DS-2019,https://www.youtube.com/watch?v=lLo5hxJk5xI,['UC Davis J-1 student'],22,People & Blogs,2019-10-29 10:13:04
not_intention,not_memory,WOiESMoyubs,{男人廚房1+1} 如何煎牛排 - How to cook steak,https://www.youtube.com/watch?v=WOiESMoyubs,[],26,How-to & Style,2019-10-28 09:43:02
not_intention,not_memory,J_UajJNby14,簡單三步驟，教你輕鬆煎牛排！,https://www.youtube.com/watch?v=J_UajJNby14,"['煎牛排', '烹飪', '牛排煎法', '爆肝護士']",26,How-to & Style,2019-10-28 09:38:56
not_intention,not_memory,zkiFXHHXfd8,東京最大份的牛排？！享受大口吃肉塊的快感！目黑牛排店食記《阿倫來吃喝》,https://www.youtube.com/watch?v=zkiFXHHXfd8,"['超大牛排', '東京牛排', '牛排', '目黑牛排', '400克牛排', '400gステーキ', '目黒ステーキ', 'デカイステーキ', '目黒deステーキ', '目黑IN牛排', '瘦肉牛排', '肉塊牛排']",19,Travel & Events,2019-10-28 09:35:31
not_intention,not_memory,kSLsF4xakTA,榮獲台灣米其林一星！牛排教父鄧有癸示範 6分鐘在家煎出專業級牛排│GQ Food,https://www.youtube.com/watch?v=kSLsF4xakTA,"['GQ', '型男', '雜誌', '娛樂', '品味', '牛排', '煎牛排', '快速', '鄧有癸', '教父牛排', 'steak', 'taste', 'style', 'chef', '食物', '教學', '主廚', '示範', '私房', '菜', '祕招', '烹飪', '老饕', '饕客', '牛排教父', '6分鐘', '專業級牛排', 'GQ Food', '台灣米其林', '米其林ㄧ星', '米其林', '米其林牛排']",24,Entertainment,2019-10-28 09:31:11
not_intention,not_memory,ShwT6lEd6Y8,〈拉姆齊上菜〉如何煎出完美牛排 │ How to Cook a Perfect Steak │ Gordon Ramsay,https://www.youtube.com/watch?v=ShwT6lEd6Y8,[],26,How-to & Style,2019-10-28 09:30:51
not_intention,not_memory,PUCLToWjMKs,煎牛排的那些事 小高姐6分钟内全部讲清楚,https://www.youtube.com/watch?v=PUCLToWjMKs,"['new york strip steak', 'strip lion', 'pan fried steak', 'best way to cook steak', '煎牛排', '煎牛排的方法', '如何煎牛排', '牛排的做法', '完美煎牛排', '米其林煎牛排', '牛排食谱', '低温水浴法', 'sous vide', '煎牛扒', '牛扒的做法', '如何煎牛扒', '牛扒食谱', '小高姐', '小高姐的 magic ingredients', '小高姐的魔法调料', '完美牛排', '完美牛扒']",26,How-to & Style,2019-10-28 09:24:01
